label,lirik,Data Cleaning,Case Folding,Normalisasi,Tokenisasi,Stopword Removal,Stemming,Rejoin
anger,(Jangan Kau Duakan Cintaku..), Jangan Kau Duakan Cintaku   , jangan kau duakan cintaku   ,jangan kamu duakan cintaku,"['jangan', 'kamu', 'duakan', 'cintaku']","['duakan', 'cintaku']","['dua', 'cinta']",dua cinta
anger,(Lupakanlah kau permainkan perasaanku, Lupakanlah kau permainkan perasaanku, lupakanlah kau permainkan perasaanku,lupakanlah kamu permainkan perasaanku,"['lupakanlah', 'kamu', 'permainkan', 'perasaanku']","['lupakanlah', 'permainkan', 'perasaanku']","['lupa', 'main', 'asa']",lupa main asa
anger,Ada yang benci,Ada yang benci,ada yang benci,ada yang benci,"['ada', 'yang', 'benci']",['benci'],['benci'],benci
anger,Agar Dia Kembali Padamu,Agar Dia Kembali Padamu,agar dia kembali padamu,agar dia kembali padamu,"['agar', 'dia', 'kembali', 'padamu']",['padamu'],['pada'],pada
anger,Ahh si akang dari tadi bacot aja,Ahh si akang dari tadi bacot aja,ahh si akang dari tadi bacot aja,ahh si akang dari tadi mulut kasar saja,"['ahh', 'si', 'akang', 'dari', 'tadi', 'mulut', 'kasar', 'saja']","['ahh', 'si', 'akang', 'mulut', 'kasar']","['ahh', 'si', 'akang', 'mulut', 'kasar']",ahh si akang mulut kasar
anger,akan aku tembak DORR!!,akan aku tembak DORR  ,akan aku tembak dorr  ,akan aku tembak dorr,"['akan', 'aku', 'tembak', 'dorr']","['tembak', 'dorr']","['tembak', 'dorr']",tembak dorr
anger,Akan sakitnya hatiku,Akan sakitnya hatiku,akan sakitnya hatiku,akan sakitnya hatiku,"['akan', 'sakitnya', 'hatiku']","['sakitnya', 'hatiku']","['sakit', 'hati']",sakit hati
anger,Akhirnya jadi banyak korban,Akhirnya jadi banyak korban,akhirnya jadi banyak korban,akhirnya jadi banyak korban,"['akhirnya', 'jadi', 'banyak', 'korban']",['korban'],['korban'],korban
anger,Akhirnya jadi berantakan,Akhirnya jadi berantakan,akhirnya jadi berantakan,akhirnya jadi berantakan,"['akhirnya', 'jadi', 'berantakan']",['berantakan'],['beranta'],beranta
anger,Aku cemburu,Aku cemburu,aku cemburu,aku cemburu,"['aku', 'cemburu']",['cemburu'],['cemburu'],cemburu
anger,Aku datangi dengan segunung api,Aku datangi dengan segunung api,aku datangi dengan segunung api,aku datangi dengan segunung api,"['aku', 'datangi', 'dengan', 'segunung', 'api']","['datangi', 'segunung', 'api']","['datang', 'gunung', 'api']",datang gunung api
anger,Aku mau kamu mendengarkan aku,Aku mau kamu mendengarkan aku,aku mau kamu mendengarkan aku,aku mau kamu mendengarkan aku,"['aku', 'mau', 'kamu', 'mendengarkan', 'aku']",['mendengarkan'],['dengar'],dengar
anger,Aku sahabatmu yang selalu mempercayaimu,Aku sahabatmu yang selalu mempercayaimu,aku sahabatmu yang selalu mempercayaimu,aku sahabatmu yang selalu mempercayaimu,"['aku', 'sahabatmu', 'yang', 'selalu', 'mempercayaimu']","['sahabatmu', 'mempercayaimu']","['sahabat', 'percaya']",sahabat percaya
anger,Aku sama sekali tak berburuk sangka,Aku sama sekali tak berburuk sangka,aku sama sekali tak berburuk sangka,aku sama sekali tidak berburuk sangka,"['aku', 'sama', 'sekali', 'tidak', 'berburuk', 'sangka']","['berburuk', 'sangka']","['buruk', 'sangka']",buruk sangka
anger,Aku tak bisa disimpan,Aku tak bisa disimpan,aku tak bisa disimpan,aku tidak bisa disimpan,"['aku', 'tidak', 'bisa', 'disimpan']",['disimpan'],['simpan'],simpan
anger,Aku tak mau  aku tak sudi,Aku tak mau  aku tak sudi,aku tak mau  aku tak sudi,aku tidak mau aku tidak sudi,"['aku', 'tidak', 'mau', 'aku', 'tidak', 'sudi']",['sudi'],['sudi'],sudi
anger,Aku tak menyangka,Aku tak menyangka,aku tak menyangka,aku tidak menyangka,"['aku', 'tidak', 'menyangka']",['menyangka'],['sangka'],sangka
anger,Aku tak peduli,Aku tak peduli,aku tak peduli,aku tidak peduli,"['aku', 'tidak', 'peduli']",['peduli'],['peduli'],peduli
anger,Aku tak perduli,Aku tak perduli,aku tak perduli,aku tidak perduli,"['aku', 'tidak', 'perduli']",['perduli'],['duli'],duli
anger,aku tau kasih engkau milik dirinya,aku tau kasih engkau milik dirinya,aku tau kasih engkau milik dirinya,aku tahu kasih engkau milik dirinya,"['aku', 'tahu', 'kasih', 'engkau', 'milik', 'dirinya']","['kasih', 'engkau', 'milik']","['kasih', 'engkau', 'milik']",kasih engkau milik
